ticker,priceToEarning.top200AvgValue,priceToEarning.industryAvgValue,valueBeforeEbitda.top200AvgValue,valueBeforeEbitda.industryAvgValue,priceToBook.top200AvgValue,priceToBook.industryAvgValue,dividend.top200AvgValue,dividend.industryAvgValue,roe.top200AvgValue,roe.industryAvgValue,roa.top200AvgValue,roa.industryAvgValue,grossProfitMargin.top200AvgValue,grossProfitMargin.industryAvgValue,operatingProfitMargin.top200AvgValue,operatingProfitMargin.industryAvgValue,postTaxMargin.top200AvgValue,postTaxMargin.industryAvgValue,debtOnEquity.top200AvgValue,debtOnEquity.industryAvgValue,debtOnAsset.top200AvgValue,debtOnAsset.industryAvgValue,debtOnEbitda.top200AvgValue,debtOnEbitda.industryAvgValue,shortOnLongDebt.top200AvgValue,shortOnLongDebt.industryAvgValue,ebitOnInterest.top200AvgValue,ebitOnInterest.industryAvgValue,assetOnEquity.top200AvgValue,assetOnEquity.industryAvgValue,cashOnEquity.top200AvgValue,cashOnEquity.industryAvgValue,cashOnCapitalize.top200AvgValue,cashOnCapitalize.industryAvgValue,currentPayment.top200AvgValue,currentPayment.industryAvgValue,quickPayment.top200AvgValue,quickPayment.industryAvgValue,daysReceivable.top200AvgValue,daysReceivable.industryAvgValue,daysInventory.top200AvgValue,daysInventory.industryAvgValue,daysPayable.top200AvgValue,daysPayable.industryAvgValue,cashCirculation.top200AvgValue,cashCirculation.industryAvgValue,revenueOnWorkCapital.top200AvgValue,revenueOnWorkCapital.industryAvgValue,revenueOnAsset.top200AvgValue,revenueOnAsset.industryAvgValue,ebitOnRevenue.top200AvgValue,ebitOnRevenue.industryAvgValue,netDebtOnEbitda.top200AvgValue,netDebtOnEbitda.industryAvgValue,netDebtOnEquity.top200AvgValue,netDebtOnEquity.industryAvgValue,priceToSales.top200AvgValue,priceToSales.industryAvgValue,costOfFinancing.industryAvgValue,interestMargin.industryAvgValue,nonInterestOnToi.industryAvgValue,costToIncome.industryAvgValue,preProvisionOnToi.industryAvgValue,postTaxOnToi.industryAvgValue,depositOnEarnAsset.industryAvgValue,cancelDebt.industryAvgValue,badDebtPercentage.industryAvgValue,provisionOnBadDebt.industryAvgValue,loanOnDeposit.industryAvgValue,equityOnTotalAsset.industryAvgValue,badDebtOnAsset.industryAvgValue
SHB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.032,0.215,0.378,0.497,0.276,0.724,0.007,0.026,0.553,0.93,0.092,0.016
STB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.032,0.215,0.378,0.497,0.276,0.724,0.007,0.026,0.553,0.93,0.092,0.016
TCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.032,0.215,0.378,0.497,0.276,0.724,0.007,0.026,0.553,0.93,0.092,0.016
TPB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.032,0.215,0.378,0.497,0.276,0.724,0.007,0.026,0.553,0.93,0.092,0.016
VCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.032,0.215,0.378,0.497,0.276,0.724,0.007,0.026,0.553,0.93,0.092,0.016
VIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.032,0.215,0.378,0.497,0.276,0.724,0.007,0.026,0.553,0.93,0.092,0.016
VPB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.032,0.215,0.378,0.497,0.276,0.724,0.007,0.026,0.553,0.93,0.092,0.016
HPG,14.4,-6384.3,13,16.2,1.7,1.3,0,0,0.094,0.008,0.031,0.001,0.29,0.079,0.15,0.032,0.117,0.015,1.4,1.3,0.6,0.6,2.2,1.9,1,3.2,2.8,1.3,2.5,2.3,0.1,0.052,0.06,0.056,1.7,1.2,1.4,0.7,147,39,81,81,33,36,0.2,0,2.1,5,0.4,1.1,0.15,0.032,2.2,1.9,0.6,0.7,2,0.3,,,,,,,,,,,,,
GVR,14.4,18,13,11.6,1.7,1.5,0,0,0.094,0.069,0.031,0.027,0.29,0.119,0.15,0.05,0.117,0.032,1.4,0.5,0.6,0.3,2.2,0.9,1,2.6,2.8,2.9,2.5,1.6,0.1,0.061,0.06,0.083,1.7,1.8,1.4,1.1,147,94,81,89,33,28,0.2,0.1,2.1,3.6,0.4,1,0.15,0.05,2.2,0.9,0.6,0.2,2,0.6,,,,,,,,,,,,,
MSN,14.4,22.4,13,14.3,1.7,2.3,0,0,0.094,0.054,0.031,0.02,0.29,0.145,0.15,0.06,0.117,0.036,1.4,0.9,0.6,0.5,2.2,0.8,1,5.8,2.8,2.1,2.5,2,0.1,0.056,0.06,0.061,1.7,1.5,1.4,0.9,147,67,81,70,33,24,0.2,0.1,2.1,4.8,0.4,0.9,0.15,0.06,2.2,0.8,0.6,0.2,2,0.6,,,,,,,,,,,,,
VNM,14.4,22.4,13,14.3,1.7,2.3,0,0,0.094,0.054,0.031,0.02,0.29,0.145,0.15,0.06,0.117,0.036,1.4,0.9,0.6,0.5,2.2,0.8,1,5.8,2.8,2.1,2.5,2,0.1,0.056,0.06,0.061,1.7,1.5,1.4,0.9,147,67,81,70,33,24,0.2,0.1,2.1,4.8,0.4,0.9,0.15,0.06,2.2,0.8,0.6,0.2,2,0.6,,,,,,,,,,,,,
