ticker,priceToEarning.top200AvgValue,priceToEarning.industryAvgValue,valueBeforeEbitda.top200AvgValue,valueBeforeEbitda.industryAvgValue,priceToBook.top200AvgValue,priceToBook.industryAvgValue,dividend.top200AvgValue,dividend.industryAvgValue,roe.top200AvgValue,roe.industryAvgValue,roa.top200AvgValue,roa.industryAvgValue,grossProfitMargin.top200AvgValue,grossProfitMargin.industryAvgValue,operatingProfitMargin.top200AvgValue,operatingProfitMargin.industryAvgValue,postTaxMargin.top200AvgValue,postTaxMargin.industryAvgValue,debtOnEquity.top200AvgValue,debtOnEquity.industryAvgValue,debtOnAsset.top200AvgValue,debtOnAsset.industryAvgValue,debtOnEbitda.top200AvgValue,debtOnEbitda.industryAvgValue,shortOnLongDebt.top200AvgValue,shortOnLongDebt.industryAvgValue,ebitOnInterest.top200AvgValue,ebitOnInterest.industryAvgValue,assetOnEquity.top200AvgValue,assetOnEquity.industryAvgValue,cashOnEquity.top200AvgValue,cashOnEquity.industryAvgValue,cashOnCapitalize.top200AvgValue,cashOnCapitalize.industryAvgValue,currentPayment.top200AvgValue,currentPayment.industryAvgValue,quickPayment.top200AvgValue,quickPayment.industryAvgValue,daysReceivable.top200AvgValue,daysReceivable.industryAvgValue,daysInventory.top200AvgValue,daysInventory.industryAvgValue,daysPayable.top200AvgValue,daysPayable.industryAvgValue,cashCirculation.top200AvgValue,cashCirculation.industryAvgValue,revenueOnWorkCapital.top200AvgValue,revenueOnWorkCapital.industryAvgValue,revenueOnAsset.top200AvgValue,revenueOnAsset.industryAvgValue,ebitOnRevenue.top200AvgValue,ebitOnRevenue.industryAvgValue,netDebtOnEbitda.top200AvgValue,netDebtOnEbitda.industryAvgValue,netDebtOnEquity.top200AvgValue,netDebtOnEquity.industryAvgValue,priceToSales.top200AvgValue,priceToSales.industryAvgValue,costOfFinancing.industryAvgValue,interestMargin.industryAvgValue,nonInterestOnToi.industryAvgValue,costToIncome.industryAvgValue,preProvisionOnToi.industryAvgValue,postTaxOnToi.industryAvgValue,depositOnEarnAsset.industryAvgValue,cancelDebt.industryAvgValue,badDebtPercentage.industryAvgValue,provisionOnBadDebt.industryAvgValue,loanOnDeposit.industryAvgValue,equityOnTotalAsset.industryAvgValue,badDebtOnAsset.industryAvgValue
VNR,14.4,13.2,13,-5.6,1.7,1.3,0,0,0.094,0.13,0.031,0.03,0.29,,0.15,,0.117,,1.4,2.5,0.6,0.7,2.2,0,1,311.4,2.8,,2.5,3.5,0.1,0.075,0.06,0.07,1.7,1.3,1.4,1.3,147,,81,,33,-206215,0.2,0,2.1,0,0.4,0,0.15,,2.2,0,0.6,0,2,,,,,,,,,,,,,,
AVC,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
BSA,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
BHA,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
BTP,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
CHP,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
TDB,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
TTE,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
DNC,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
DNH,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
DRL,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
DTE,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
DTV,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
PGV,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
GHC,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
GEG,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
GSM,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
HTE,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
HJS,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
HNA,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
HPD,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
KHP,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
NBP,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
ND2,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
HND,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
NT2,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
PIC,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
PPC,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
PBK,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
QTP,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
QPH,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
SBA,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
SBH,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
SEB,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
SHP,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
SJD,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
SMA,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
SP2,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
ISH,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
S4A,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
SVH,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
TBC,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
VCP,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
NTH,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
TMP,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
TTA,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
DTK,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
VPD,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
VSH,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
XMP,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
PPT,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
ASP,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
BLW,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
BDW,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
NBT,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
BGW,14.4,13.8,13,8.1,1.7,1.7,0,0,0.094,0.101,0.031,0.055,0.29,0.327,0.15,0.172,0.117,0.107,1.4,0.7,0.6,0.4,2.2,1.3,1,0.3,2.8,5.7,2.5,1.7,0.1,0.073,0.06,0.058,1.7,1.5,1.4,1.3,147,41,81,19,33,24,0.2,0.2,2.1,6.1,0.4,0.5,0.15,0.172,2.2,1.3,0.6,0.2,2,1.4,,,,,,,,,,,,,
