ticker,time,orderType,volume,price,prevPriceChange
PAN,11:29:36,Sell Down,2500.0,20700.0,0.0
PAN,11:29:24,Sell Down,100.0,20700.0,0.0
PAN,11:29:21,Sell Down,300.0,20700.0,0.0
PAN,11:29:14,Sell Down,100.0,20700.0,0.0
PAN,11:29:06,Sell Down,500.0,20700.0,0.0
PAN,11:28:46,Sell Down,100.0,20700.0,0.0
PAN,11:28:36,Sell Down,2300.0,20700.0,0.0
PAN,11:28:23,Sell Down,5000.0,20700.0,0.0
PAN,11:27:52,Sell Down,200.0,20700.0,0.0
PAN,11:26:53,Sell Down,1000.0,20700.0,0.0
PAN,11:26:23,Sell Down,200.0,20700.0,-50.0
PAN,11:26:19,Buy Up,300.0,20750.0,0.0
PAN,11:26:19,Buy Up,200.0,20750.0,50.0
PAN,11:25:51,Sell Down,5000.0,20700.0,0.0
PAN,11:24:48,Sell Down,100.0,20700.0,-50.0
PAN,11:24:44,Buy Up,100.0,20750.0,50.0
PAN,11:24:09,Sell Down,100.0,20700.0,0.0
PAN,11:22:22,Sell Down,200.0,20700.0,-50.0
PAN,11:19:55,Buy Up,400.0,20750.0,50.0
PAN,11:19:09,Buy Up,500.0,20700.0,0.0
PAN,11:19:09,Buy Up,100.0,20700.0,0.0
PAN,11:19:09,Buy Up,2000.0,20700.0,0.0
PAN,11:19:09,Buy Up,100.0,20700.0,0.0
PAN,11:19:09,Buy Up,100.0,20700.0,0.0
PAN,11:19:07,Buy Up,300.0,20700.0,0.0
PAN,11:15:52,Buy Up,100.0,20700.0,0.0
PAN,11:15:52,Buy Up,300.0,20700.0,0.0
PAN,11:13:28,Buy Up,18400.0,20700.0,0.0
PAN,11:13:28,Buy Up,500.0,20700.0,0.0
PAN,11:13:28,Buy Up,100.0,20700.0,0.0
PAN,11:13:28,Buy Up,100.0,20700.0,0.0
PAN,11:13:28,Buy Up,1000.0,20700.0,0.0
PAN,11:13:28,Buy Up,700.0,20700.0,0.0
PAN,11:13:28,Buy Up,500.0,20700.0,0.0
PAN,11:13:28,Buy Up,1000.0,20700.0,0.0
PAN,11:13:28,Buy Up,6000.0,20700.0,0.0
PAN,11:13:28,Buy Up,300.0,20700.0,0.0
PAN,11:13:28,Buy Up,300.0,20700.0,0.0
PAN,11:13:28,Buy Up,100.0,20700.0,0.0
PAN,11:13:28,Buy Up,100.0,20700.0,0.0
PAN,11:13:28,Buy Up,2000.0,20700.0,0.0
PAN,11:13:28,Buy Up,1000.0,20700.0,0.0
PAN,11:13:28,Buy Up,1000.0,20700.0,0.0
PAN,11:13:28,Buy Up,1000.0,20700.0,0.0
PAN,11:13:28,Buy Up,1000.0,20700.0,0.0
PAN,11:13:28,Buy Up,100.0,20700.0,0.0
PAN,11:13:28,Buy Up,100.0,20700.0,0.0
PAN,11:13:28,Buy Up,500.0,20700.0,0.0
PAN,11:13:28,Buy Up,300.0,20700.0,0.0
PAN,11:13:28,Buy Up,100.0,20700.0,0.0
PAN,11:13:28,Buy Up,100.0,20700.0,0.0
PAN,11:13:28,Buy Up,100.0,20700.0,0.0
PAN,11:13:28,Buy Up,100.0,20700.0,0.0
PAN,11:13:28,Buy Up,100.0,20700.0,0.0
PAN,11:13:28,Buy Up,400.0,20700.0,0.0
PAN,11:13:28,Buy Up,100.0,20700.0,0.0
PAN,11:13:28,Buy Up,600.0,20700.0,0.0
PAN,11:13:28,Buy Up,700.0,20700.0,0.0
PAN,11:13:28,Buy Up,300.0,20700.0,0.0
PAN,11:13:28,Buy Up,1500.0,20700.0,0.0
PAN,11:13:28,Buy Up,500.0,20700.0,0.0
PAN,11:13:28,Buy Up,5000.0,20700.0,0.0
PAN,11:13:28,Buy Up,100.0,20700.0,0.0
PAN,11:13:28,Buy Up,200.0,20700.0,50.0
PAN,11:11:47,Sell Down,100.0,20650.0,0.0
PAN,11:11:45,Sell Down,100.0,20650.0,0.0
PAN,11:11:45,Sell Down,400.0,20650.0,0.0
PAN,11:11:45,Sell Down,500.0,20650.0,0.0
PAN,11:11:38,Sell Down,200.0,20650.0,0.0
PAN,11:11:38,Sell Down,1300.0,20650.0,0.0
PAN,11:11:03,Sell Down,500.0,20650.0,0.0
PAN,11:09:32,Sell Down,400.0,20650.0,0.0
PAN,11:07:14,Sell Down,800.0,20650.0,0.0
PAN,11:07:14,Sell Down,7700.0,20650.0,0.0
PAN,11:06:49,Sell Down,500.0,20650.0,0.0
PAN,11:04:49,Sell Down,1800.0,20650.0,0.0
PAN,11:04:49,Sell Down,2200.0,20650.0,-50.0
PAN,11:04:48,Buy Up,5600.0,20700.0,0.0
PAN,11:04:48,Buy Up,1500.0,20700.0,0.0
PAN,11:04:48,Buy Up,500.0,20700.0,0.0
PAN,11:04:48,Buy Up,100.0,20700.0,0.0
PAN,11:04:48,Buy Up,1000.0,20700.0,0.0
PAN,11:04:48,Buy Up,100.0,20700.0,0.0
PAN,11:04:48,Buy Up,2000.0,20700.0,0.0
PAN,11:04:48,Buy Up,100.0,20700.0,0.0
PAN,11:04:48,Buy Up,500.0,20700.0,0.0
PAN,11:04:48,Buy Up,400.0,20700.0,0.0
PAN,11:04:48,Buy Up,100.0,20700.0,0.0
PAN,11:04:48,Buy Up,5000.0,20700.0,0.0
PAN,11:04:48,Buy Up,5000.0,20700.0,0.0
PAN,11:04:48,Buy Up,1000.0,20700.0,0.0
PAN,11:04:48,Buy Up,100.0,20700.0,0.0
PAN,11:04:48,Buy Up,300.0,20700.0,0.0
PAN,11:04:48,Buy Up,200.0,20700.0,0.0
PAN,11:04:48,Buy Up,6500.0,20700.0,50.0
PAN,11:04:44,Buy Up,200.0,20650.0,0.0
