ticker,time,orderType,volume,price,prevPriceChange
PHC,13:45:10,Buy Up,100.0,7050.0,0.0
PHC,13:39:30,Buy Up,100.0,7050.0,0.0
PHC,13:38:37,Buy Up,100.0,7050.0,0.0
PHC,13:37:14,Buy Up,200.0,7050.0,30.0
PHC,13:32:14,Sell Down,1000.0,7020.0,0.0
PHC,13:32:14,Sell Down,400.0,7020.0,0.0
PHC,13:32:14,Sell Down,1000.0,7020.0,0.0
PHC,13:32:14,Sell Down,2000.0,7020.0,-10.0
PHC,13:32:14,Sell Down,1000.0,7030.0,0.0
PHC,13:32:14,Sell Down,300.0,7030.0,0.0
PHC,13:32:14,Sell Down,2100.0,7030.0,-10.0
PHC,13:32:14,Sell Down,200.0,7040.0,10.0
PHC,13:32:14,Sell Down,300.0,7030.0,0.0
PHC,13:32:14,Sell Down,200.0,7030.0,-10.0
PHC,13:32:14,Sell Down,1000.0,7040.0,0.0
PHC,13:32:14,Sell Down,400.0,7040.0,0.0
PHC,13:32:14,Sell Down,100.0,7040.0,-10.0
PHC,13:30:36,Buy Up,1000.0,7050.0,10.0
PHC,13:29:53,Sell Down,100.0,7040.0,-10.0
PHC,13:29:23,Sell Down,1000.0,7050.0,0.0
PHC,13:25:43,Sell Down,2000.0,7050.0,0.0
PHC,13:25:43,Sell Down,2000.0,7050.0,-10.0
PHC,13:25:43,Sell Down,2000.0,7060.0,0.0
PHC,13:25:43,Sell Down,2000.0,7060.0,-40.0
PHC,13:14:19,Buy Up,100.0,7100.0,-10.0
PHC,11:02:49,Buy Up,1000.0,7110.0,100.0
PHC,10:38:34,Sell Down,500.0,7010.0,-40.0
PHC,10:38:34,Sell Down,100.0,7050.0,-20.0
PHC,10:38:34,Sell Down,500.0,7070.0,0.0
PHC,10:38:34,Sell Down,200.0,7070.0,-10.0
PHC,10:38:34,Sell Down,3000.0,7080.0,0.0
PHC,10:38:34,Sell Down,200.0,7080.0,0.0
PHC,10:38:34,Sell Down,100.0,7080.0,-20.0
PHC,10:38:34,Sell Down,700.0,7100.0,0.0
PHC,10:38:34,Sell Down,100.0,7100.0,-50.0
PHC,10:38:09,Buy Up,100.0,7150.0,0.0
PHC,10:38:09,Buy Up,100.0,7150.0,0.0
PHC,10:38:09,Buy Up,1400.0,7150.0,0.0
PHC,10:38:09,Buy Up,300.0,7150.0,0.0
PHC,10:38:09,Buy Up,100.0,7150.0,0.0
PHC,10:38:09,Buy Up,500.0,7150.0,10.0
PHC,10:38:09,Buy Up,100.0,7140.0,10.0
PHC,10:38:09,Buy Up,100.0,7130.0,10.0
PHC,10:28:21,Buy Up,100.0,7120.0,-10.0
PHC,10:13:41,Buy Up,700.0,7130.0,10.0
PHC,10:12:19,Sell Down,1000.0,7120.0,0.0
PHC,10:12:19,Sell Down,1000.0,7120.0,0.0
PHC,10:12:19,Sell Down,300.0,7120.0,0.0
PHC,10:11:49,Sell Down,700.0,7120.0,0.0
PHC,10:09:00,Sell Down,1000.0,7120.0,0.0
PHC,10:08:03,Sell Down,1000.0,7120.0,0.0
PHC,10:04:41,Sell Down,400.0,7120.0,0.0
PHC,10:04:41,Sell Down,100.0,7120.0,-10.0
PHC,10:04:28,Buy Up,1300.0,7130.0,0.0
PHC,10:04:28,Buy Up,800.0,7130.0,0.0
PHC,09:58:03,Buy Up,3000.0,7130.0,0.0
PHC,09:56:00,Sell Down,400.0,7130.0,0.0
PHC,09:54:07,Sell Down,100.0,7130.0,-20.0
PHC,09:48:04,Buy Up,100.0,7150.0,0.0
PHC,09:48:04,Buy Up,400.0,7150.0,20.0
PHC,09:46:24,Buy Up,100.0,7130.0,0.0
PHC,09:42:29,Buy Up,3000.0,7130.0,0.0
PHC,09:34:38,Sell Down,300.0,7130.0,0.0
PHC,09:33:57,Sell Down,100.0,7130.0,0.0
PHC,09:29:12,Sell Down,200.0,7130.0,0.0
PHC,09:28:59,Sell Down,300.0,7130.0,0.0
PHC,09:26:01,Sell Down,1000.0,7130.0,0.0
PHC,09:21:41,Sell Down,500.0,7130.0,0.0
PHC,09:20:38,Sell Down,100.0,7130.0,-20.0
PHC,09:20:37,Buy Up,100.0,7150.0,10.0
PHC,09:19:55,Buy Up,100.0,7140.0,-10.0
PHC,09:17:39,Buy Up,100.0,7150.0,30.0
PHC,09:15:02,,1000.0,7120.0,0.0
